,id,uid,date,timeValid,neutralSite,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.address.country,venue.capacity,venue.indoor,status.clock,status.displayClock,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season
0,241022009,s:70~l:90~e:241022009~c:241022009,2004-10-23T00:30Z,True,False,False,[],2004-10-23T00:30Z,1,STD,516,American Airlines Center,Dallas,TX,USA,18532.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,9,s:70~l:90~t:9,Dallas,Stars,DAL,Dallas Stars,Stars,00704a,8c9192,True,516,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/dal.png,2,s:70~l:90~t:2,Buffalo,Sabres,BUF,Buffalo Sabres,Sabres,002d62,fdba31,True,1848,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/buf.png,2005
0,241022022,s:70~l:90~e:241022022~c:241022022,2004-10-23T02:00Z,True,False,False,[],2004-10-23T02:00Z,1,STD,1833,Rogers Arena,Vancouver,BC,Canada,18810.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,22,s:70~l:90~t:22,Vancouver,Canucks,VAN,Vancouver Canucks,Canucks,103f7e,008752,True,1833,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/van.png,30,s:70~l:90~t:30,Minnesota,Wild,MIN,Minnesota Wild,Wild,004725,c41230,True,1835,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/min.png,2005
0,241023001,s:70~l:90~e:241023001~c:241023001,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1824,TD Garden,Boston,MA,USA,17565.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,1,s:70~l:90~t:1,Boston,Bruins,BOS,Boston Bruins,Bruins,231f20,fdbb30,True,1824,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/bos.png,18,s:70~l:90~t:18,San Jose,Sharks,SJ,San Jose Sharks,Sharks,10535e,eb901d,True,1653,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/sj.png,2005
0,241023010,s:70~l:90~e:241023010~c:241023010,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1831,Bell Centre,Montreal,QC,Canada,21273.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,10,s:70~l:90~t:10,Montreal,Canadiens,MTL,Montreal Canadiens,Canadiens,a3121b,001e62,True,1831,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/mtl.png,21,s:70~l:90~t:21,Toronto,Maple Leafs,TOR,Toronto Maple Leafs,Maple Leafs,003e7e,f0f0f0,True,1838,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tor.png,2005
0,241023013,s:70~l:90~e:241023013~c:241023013,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1830,Madison Square Garden,New York,NY,USA,18006.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,13,s:70~l:90~t:13,New York,Rangers,NYR,New York Rangers,Rangers,0056ae,e51937,True,1830,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nyr.png,28,s:70~l:90~t:28,Winnipeg,Jets,ATL,Winnipeg Jets,Jets,133866,b81f3d,True,1827,https://a.espncdn.com/i/teamlogos/nhl/500/atl.png,2005
0,241023014,s:70~l:90~e:241023014~c:241023014,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1832,Canadian Tire Centre,Ottawa,ON,Canada,18500.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,14,s:70~l:90~t:14,Ottawa,Senators,OTT,Ottawa Senators,Senators,d01b35,c89a1c,True,1832,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ott.png,15,s:70~l:90~t:15,Philadelphia,Flyers,PHI,Philadelphia Flyers,Flyers,eb7131,000000,True,1845,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phi.png,2005
0,241023023,s:70~l:90~e:241023023~c:241023023,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,USA,18398.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,23,s:70~l:90~t:23,Washington,Capitals,WSH,Washington Capitals,Capitals,d01b35,002d62,True,1823,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/wsh.png,12,s:70~l:90~t:12,New York,Islanders,NYI,New York Islanders,Islanders,10539c,e17033,True,1825,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nyi.png,2005
0,241023026,s:70~l:90~e:241023026~c:241023026,2004-10-23T23:00Z,True,False,False,[],2004-10-23T23:00Z,1,STD,1840,BB&T Center,Sunrise,FL,USA,19250.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,26,s:70~l:90~t:26,Florida,Panthers,FLA,Florida Panthers,Panthers,002a5c,d81834,True,1840,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/fla.png,16,s:70~l:90~t:16,Pittsburgh,Penguins,PIT,Pittsburgh Penguins,Penguins,231f20,f0b128,True,1837,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/pit.png,2005
0,241023011,s:70~l:90~e:241023011~c:241023011,2004-10-23T23:30Z,True,False,False,[],2004-10-23T23:30Z,1,STD,2562,IZOD Center,East Rutherford,NJ,USA,19040.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,11,s:70~l:90~t:11,New Jersey,Devils,NJ,New Jersey Devils,Devils,cd2427,1a1617,True,2562,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nj.png,5,s:70~l:90~t:5,Detroit,Red Wings,DET,Detroit Red Wings,Red Wings,e51937,ebebeb,True,5404,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/det.png,2005
0,241023027,s:70~l:90~e:241023027~c:241023027,2004-10-24T00:00Z,True,False,False,[],2004-10-24T00:00Z,1,STD,1834,Bridgestone Arena,Nashville,TN,USA,17113.0,True,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,27,s:70~l:90~t:27,Nashville,Predators,NSH,Nashville Predators,Predators,fdba31,002d62,True,1834,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nsh.png,25,s:70~l:90~t:25,Anaheim,Ducks,ANA,Anaheim Ducks,Ducks,231f20,b5985a,True,1842,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ana.png,2005
0,241023003,s:70~l:90~e:241023003~c:241023003,2004-10-24T01:00Z,True,False,False,[],2004-10-24T01:00Z,1,STD,1843,Scotiabank Saddledome,Calgary,AB,Canada,19289.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,3,s:70~l:90~t:3,Calgary,Flames,CGY,Calgary Flames,Flames,e51937,231f20,True,1843,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cgy.png,29,s:70~l:90~t:29,Columbus,Blue Jackets,CBJ,Columbus Blue Jackets,Blue Jackets,002d62,cd202c,True,1828,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cbj.png,2005
0,241023017,s:70~l:90~e:241023017~c:241023017,2004-10-24T01:00Z,True,False,False,[],2004-10-24T01:00Z,1,STD,892,Ball Arena,Denver,CO,USA,18007.0,True,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,17,s:70~l:90~t:17,Colorado,Avalanche,COL,Colorado Avalanche,Avalanche,860038,11497f,True,892,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/col.png,20,s:70~l:90~t:20,Tampa Bay,Lightning,TB,Tampa Bay Lightning,Lightning,003d7c,b2b7bb,True,1396,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tb.png,2005
0,241023006,s:70~l:90~e:241023006~c:241023006,2004-10-24T02:00Z,True,False,False,[],2004-10-24T02:00Z,1,STD,1846,Rexall Place,Edmonton,AB,Canada,16839.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,6,s:70~l:90~t:6,Edmonton,Oilers,EDM,Edmonton Oilers,Oilers,003e7e,eb6e1f,True,5282,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/edm.png,19,s:70~l:90~t:19,St. Louis,Blues,STL,St. Louis Blues,Blues,073585,d9ae26,True,1839,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/stl.png,2005
0,241023008,s:70~l:90~e:241023008~c:241023008,2004-10-24T02:30Z,True,False,False,[],2004-10-24T02:30Z,1,STD,1841,STAPLES Center,Los Angeles,CA,USA,18118.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,8,s:70~l:90~t:8,Los Angeles,Kings,LA,Los Angeles Kings,Kings,231f20,b0b7bc,True,1841,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/la.png,24,s:70~l:90~t:24,Arizona,Coyotes,PHX,Arizona Coyotes,Coyotes,770c1d,231f20,True,1829,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phx.png,2005
0,241024004,s:70~l:90~e:241024004~c:241024004,2004-10-24T23:00Z,True,False,False,[],2004-10-24T23:00Z,1,STD,1847,United Center,Chicago,IL,USA,19717.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,s:70~l:90~t:4,Chicago,Blackhawks,CHI,Chicago Blackhawks,Blackhawks,c8102e,1b1718,True,1847,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/chi.png,9,s:70~l:90~t:9,Dallas,Stars,DAL,Dallas Stars,Stars,00704a,8c9192,True,516,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/dal.png,2005
0,241024024,s:70~l:90~e:241024024~c:241024024,2004-10-25T00:00Z,True,False,False,[],2004-10-25T00:00Z,1,STD,1829,Gila River Arena,Glendale,AZ,USA,17125.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,24,s:70~l:90~t:24,Arizona,Coyotes,PHX,Arizona Coyotes,Coyotes,770c1d,231f20,True,1829,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phx.png,2,s:70~l:90~t:2,Buffalo,Sabres,BUF,Buffalo Sabres,Sabres,002d62,fdba31,True,1848,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/buf.png,2005
0,241024022,s:70~l:90~e:241024022~c:241024022,2004-10-25T02:00Z,True,False,False,[],2004-10-25T02:00Z,1,STD,1833,Rogers Arena,Vancouver,BC,Canada,18810.0,False,0.0,0:00,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,22,s:70~l:90~t:22,Vancouver,Canucks,VAN,Vancouver Canucks,Canucks,103f7e,008752,True,1833,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/van.png,29,s:70~l:90~t:29,Columbus,Blue Jackets,CBJ,Columbus Blue Jackets,Blue Jackets,002d62,cd202c,True,1828,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cbj.png,2005
