,id,uid,date,attendance,timeValid,neutralSite,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.address.country,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,status.featuredAthletes,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,status.type.altDetail,season,tickets,odds
0,401272841,s:70~l:90~e:401272841~c:401272841,2021-04-24T23:00Z,,True,False,False,[],2021-04-24T23:00Z,1,STD,1397,Bell MTS Place,Winnipeg,MB,Canada,15004.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 7:00 PM EDT",4/24 - 7:00 PM EDT,,28,s:70~l:90~t:28,Winnipeg,Jets,WPG,Winnipeg Jets,Jets,133866,b81f3d,True,1827,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/wpg.png,21,s:70~l:90~t:21,Toronto,Maple Leafs,TOR,Toronto Maple Leafs,Maple Leafs,003e7e,f0f0f0,True,1838,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tor.png,,2021,,
0,401272842,s:70~l:90~e:401272842~c:401272842,2021-04-24T23:00Z,,True,False,False,[],2021-04-24T23:00Z,1,STD,1843,Scotiabank Saddledome,Calgary,AB,Canada,19289.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 7:00 PM EDT",4/24 - 7:00 PM EDT,,3,s:70~l:90~t:3,Calgary,Flames,CGY,Calgary Flames,Flames,e51937,231f20,True,1843,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cgy.png,10,s:70~l:90~t:10,Montreal,Canadiens,MTL,Montreal Canadiens,Canadiens,a3121b,001e62,True,1831,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/mtl.png,,2021,,
0,401272845,s:70~l:90~e:401272845~c:401272845,2021-04-25T01:00Z,,True,False,False,[],2021-04-25T01:00Z,1,STD,1653,SAP Center,San Jose,CA,USA,17496.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 9:00 PM EDT",4/24 - 9:00 PM EDT,,18,s:70~l:90~t:18,San Jose,Sharks,SJ,San Jose Sharks,Sharks,10535e,eb901d,True,1653,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/sj.png,30,s:70~l:90~t:30,Minnesota,Wild,MIN,Minnesota Wild,Wild,004725,c41230,True,1835,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/min.png,,2021,,
0,401272843,s:70~l:90~e:401272843~c:401272843,2021-04-25T02:00Z,,True,False,False,[],2021-04-25T02:00Z,1,STD,1833,Rogers Arena,Vancouver,BC,Canada,18810.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 10:00 PM EDT",4/24 - 10:00 PM EDT,,22,s:70~l:90~t:22,Vancouver,Canucks,VAN,Vancouver Canucks,Canucks,103f7e,008752,True,1833,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/van.png,14,s:70~l:90~t:14,Ottawa,Senators,OTT,Ottawa Senators,Senators,d01b35,c89a1c,True,1832,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ott.png,,2021,,
0,401272844,s:70~l:90~e:401272844~c:401272844,2021-04-25T02:00Z,,True,False,False,[],2021-04-25T02:00Z,1,STD,1841,STAPLES Center,Los Angeles,CA,USA,18118.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sat, April 24th at 10:00 PM EDT",4/24 - 10:00 PM EDT,,8,s:70~l:90~t:8,Los Angeles,Kings,LA,Los Angeles Kings,Kings,231f20,b0b7bc,True,1841,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/la.png,24,s:70~l:90~t:24,Arizona,Coyotes,ARI,Arizona Coyotes,Coyotes,770c1d,231f20,True,1829,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ari.png,,2021,,
0,401272849,s:70~l:90~e:401272849~c:401272849,2021-04-25T19:00Z,,True,False,False,[],2021-04-25T19:00Z,1,STD,1837,PPG Paints Arena,Pittsburgh,PA,USA,18087.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sun, April 25th at 3:00 PM EDT",4/25 - 3:00 PM EDT,,16,s:70~l:90~t:16,Pittsburgh,Penguins,PIT,Pittsburgh Penguins,Penguins,231f20,f0b128,True,1837,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/pit.png,1,s:70~l:90~t:1,Boston,Bruins,BOS,Boston Bruins,Bruins,231f20,fdbb30,True,1824,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/bos.png,,2021,,
0,401272846,s:70~l:90~e:401272846~c:401272846,2021-04-25T22:00Z,,True,False,False,[],2021-04-25T22:00Z,1,STD,1830,Madison Square Garden,New York,NY,USA,18006.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sun, April 25th at 6:00 PM EDT",4/25 - 6:00 PM EDT,,13,s:70~l:90~t:13,New York,Rangers,NYR,New York Rangers,Rangers,0056ae,e51937,True,1830,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nyr.png,2,s:70~l:90~t:2,Buffalo,Sabres,BUF,Buffalo Sabres,Sabres,002d62,fdba31,True,1848,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/buf.png,,2021,"[{'summary': 'Tickets as low as $373', 'numberAvailable': 44, 'links': [{'href': 'https://www.vividseats.com/nhl-hockey/new-york-rangers-tickets/rangers-vs-sabres-4-25-3552450.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/madison-square-garden-tickets.html?wsUser=717'}]}]",
0,401299606,s:70~l:90~e:401299606~c:401299606,2021-04-25T22:00Z,,True,False,False,[],2021-04-25T22:00Z,1,STD,1845,Wells Fargo Center,Philadelphia,PA,USA,19500.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sun, April 25th at 6:00 PM EDT",4/25 - 6:00 PM EDT,,15,s:70~l:90~t:15,Philadelphia,Flyers,PHI,Philadelphia Flyers,Flyers,eb7131,000000,True,1845,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/phi.png,11,s:70~l:90~t:11,New Jersey,Devils,NJ,New Jersey Devils,Devils,cd2427,1a1617,True,2562,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/nj.png,,2021,,
0,401272848,s:70~l:90~e:401272848~c:401272848,2021-04-25T23:00Z,,True,False,False,[],2021-04-25T23:00Z,1,STD,1396,Amalie Arena,Tampa,FL,USA,19092.0,True,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Sun, April 25th at 7:00 PM EDT",4/25 - 7:00 PM EDT,,20,s:70~l:90~t:20,Tampa Bay,Lightning,TB,Tampa Bay Lightning,Lightning,003d7c,b2b7bb,True,1396,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/tb.png,29,s:70~l:90~t:29,Columbus,Blue Jackets,CBJ,Columbus Blue Jackets,Blue Jackets,002d62,cd202c,True,1828,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/cbj.png,,2021,"[{'summary': 'Tickets as low as $126', 'numberAvailable': 30, 'links': [{'href': 'https://www.vividseats.com/nhl-hockey/tampa-bay-lightning-tickets/lightning-vs-blue-jackets-4-25-3552283.html?wsUser=717'}, {'href': 'https://www.vividseats.com/venues/amalie-arena-tickets.html?wsUser=717'}]}]",
0,401272851,s:70~l:90~e:401272851~c:401272851,2021-04-26T23:00Z,,True,False,False,[],2021-04-26T23:00Z,1,STD,1832,Canadian Tire Centre,Ottawa,ON,Canada,18500.0,False,0.0,0:00,0,1,STATUS_SCHEDULED,pre,False,Scheduled,"Mon, April 26th at 7:00 PM EDT",4/26 - 7:00 PM EDT,,14,s:70~l:90~t:14,Ottawa,Senators,OTT,Ottawa Senators,Senators,d01b35,c89a1c,True,1832,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/ott.png,22,s:70~l:90~t:22,Vancouver,Canucks,VAN,Vancouver Canucks,Canucks,103f7e,008752,True,1833,https://a.espncdn.com/i/teamlogos/nhl/500/scoreboard/van.png,,2021,,
