,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.venue.id,away.logo,away.conferenceId,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,313630269,s:40~l:41~e:313630269~c:313630269,2011-12-30T02:00Z,15684,True,False,False,False,[],2011-12-30T02:00Z,0,N/A,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,True,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,238,s:40~l:41~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,True,2084,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,23,231f20,,,,,,,2012
0,313632305,s:40~l:41~e:313632305~c:313632305,2011-12-30T01:00Z,16300,True,False,False,False,[],2011-12-30T01:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,47,s:40~l:41~t:47,Howard,Bison,HOW,Howard Bison,Howard,9e0b0e,True,1978,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png,16,6b818d,,,,,,,2012
0,313630130,s:40~l:41~e:313630130~c:313630130,2011-12-30T00:30Z,12751,True,False,True,False,[],2011-12-30T00:30Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,213,s:40~l:41~t:213,Penn State,Nittany Lions,PSU,Penn State Nittany Lions,Penn State,00265D,True,1942,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,7,002e5c,,7,Big Ten Conference,Big Ten,True,,2012
0,313630103,s:40~l:41~e:313630103~c:313630103,2011-12-30T00:00Z,8606,True,False,False,False,[],2011-12-30T00:00Z,0,N/A,135,Silvio O. Conte Forum,Chestnut Hill,MA,8606.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,103,s:40~l:41~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,108,s:40~l:41~t:108,Harvard,Crimson,HARV,Harvard Crimson,Harvard,990000,True,2209,https://a.espncdn.com/i/teamlogos/ncaa/500/108.png,12,dbdbdb,,,,,,,2012
0,313632597,s:40~l:41~e:313632597~c:313632597,2011-12-29T19:00Z,743,True,False,False,False,[],2011-12-29T19:00Z,0,N/A,2060,Peter Aquilone Court,Brooklyn,NY,1250.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2597,s:40~l:41~t:2597,St. Francis (BKN),Terriers,SFBK,St. Francis (BKN) Terriers,St. Fran. (BKN),113682,,True,4941,https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png,19,225,s:40~l:41~t:225,Brown,Bears,BRWN,Brown Bears,Brown,411e09,True,2036,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png,12,949300,,,,,,,2012
0,313632582,s:40~l:41~e:313632582~c:313632582,2011-12-29T20:00Z,278,True,False,False,False,[],2011-12-29T20:00Z,0,N/A,2210,F. G. Clark Activity Center,Baton Rouge,LA,7500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2582,s:40~l:41~t:2582,Southern,Jaguars,SOU,Southern Jaguars,Southern,004B97,ffc82d,True,2210,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,26,100,s:40~l:41~t:100,Loyola New Orleans,Wolfpack,L-LA,Loyola New Orleans Wolfpack,Loyola (LA),000000,False,,,,,,,,,,,2012
0,313630116,s:40~l:41~e:313630116~c:313630116,2011-12-29T21:00Z,860,True,False,False,False,[],2011-12-29T21:00Z,0,N/A,2175,Knott Arena,Emmitsburg,MD,3121.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mt. St. Mary's,005596,ebebeb,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,44,s:40~l:41~t:44,American,Eagles,AMER,American Eagles,American,c41130,True,1910,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,22,c8102e,,,,,,,2012
0,313632261,s:40~l:41~e:313632261~c:313632261,2011-12-29T21:30Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'DR PEPPER CLASSIC AT CHATTANOOGA TN'}]",2011-12-29T21:30Z,0,N/A,2146,McKenzie Arena,Chattanooga,TN,10995.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,True,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,3084,s:40~l:41~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,True,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,e1c736,,,,,,,2012
0,313632348,s:40~l:41~e:313632348~c:313632348,2011-12-29T23:00Z,0,True,False,False,False,[],2011-12-29T23:00Z,0,N/A,1982,Thomas Assembly Center,Ruston,LA,8000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2348,s:40~l:41~t:2348,Louisiana Tech,Bulldogs,LT,Louisiana Tech Bulldogs,Louisiana Tech,002d65,d3313a,True,1982,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,30,2590,s:40~l:41~t:2590,Spring Hill,Badgers,SPHL,Spring Hill Badgers,Spring Hill,000000,False,,,,,,,,,,,2012
0,313632633,s:40~l:41~e:313632633~c:313632633,2011-12-30T00:00Z,16245,True,False,False,False,[],2011-12-30T00:00Z,0,N/A,2044,Thompson-Boling Arena,Knoxville,TN,21678.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,True,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,2643,s:40~l:41~t:2643,The Citadel,Bulldogs,CIT,The Citadel Bulldogs,The Citadel,002b5c,True,2154,https://a.espncdn.com/i/teamlogos/ncaa/500/2643.png,24,f0f0f0,,,,,,,2012
