,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,season
0,323240153,s:40~l:41~e:323240153~c:323240153,2012-11-19T23:17Z,2400,True,True,False,False,"[{'type': 'event', 'headline': 'EA SPORTS MAUI INVITATIONAL AT MAUI HI'}]",2012-11-19T23:17Z,0,N/A,1943,Lahaina Civic Center,Maui,HI,0.0,False,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,99bfe5,13294b,True,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,344,s:40~l:41~t:344,Mississippi State,Bulldogs,MSST,Mississippi State Bulldogs,Mississippi St,762123,c8c8c8,True,2095,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,23,,,,,,,2013
0,323240012,s:40~l:41~e:323240012~c:323240012,2012-11-20T02:00Z,13382,True,False,False,False,[],2012-11-20T02:00Z,0,N/A,1064,McKale Center,Tucson,AZ,14644.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,299,s:40~l:41~t:299,Long Beach State,Beach,LBSU,Long Beach State Beach,Long Beach St,000000,f1f2f3,True,539,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png,9,,,,,,,2013
0,323240046,s:40~l:41~e:323240046~c:323240046,2012-11-20T01:00Z,10071,True,True,False,False,"[{'type': 'event', 'headline': 'PROGRESSIVE LEGENDS CLASSIC AT BROOKLYN NY'}]",2012-11-20T01:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,True,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,,,,,,,2013
0,323242305,s:40~l:41~e:323242305~c:323242305,2012-11-20T03:00Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'CBE HALL OF FAME CLASSIC AT KANSAS CITY MO'}]",2012-11-20T03:00Z,0,N/A,2561,T-Mobile Center,Kansas City,MO,0.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2305,s:40~l:41~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,True,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,265,s:40~l:41~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,True,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,,,,,,,2013
0,323240041,s:40~l:41~e:323240041~c:323240041,2012-11-20T03:15Z,3022,True,True,False,False,"[{'type': 'event', 'headline': 'PARADISE JAM AT SAINT THOMAS Virgin Islands'}]",2012-11-20T03:15Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,41,s:40~l:41~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,True,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,167,s:40~l:41~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,True,2024,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,44,,,,,,,2013
0,323240119,s:40~l:41~e:323240119~c:323240119,2012-11-19T18:00Z,100,True,True,False,False,"[{'type': 'event', 'headline': 'COMFORT SUITES INVITATIONAL AT RICHMOND KY'}]",2012-11-19T18:00Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,3093,s:40~l:41~t:3093,Cincinnati Christian,Eagles,CC,Cincinnati Christian Eagles,Cincy Christian,000000,,False,,,,,,,,,,2013
0,323240154,s:40~l:41~e:323240154~c:323240154,2012-11-19T19:30Z,0,True,True,False,False,"[{'type': 'event', 'headline': 'PARADISE JAM AT SAINT THOMAS Virgin Islands'}]",2012-11-19T19:30Z,0,N/A,,,,,,,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,154,s:40~l:41~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,000000,True,2120,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2,2382,s:40~l:41~t:2382,Mercer,Bears,MER,Mercer Bears,Mercer,ff7f29,080808,True,1974,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,46,,,,,,,2013
0,323242016,s:40~l:41~e:323242016~c:323242016,2012-11-19T20:00Z,0,True,False,False,False,[],2012-11-19T20:00Z,0,N/A,2072,Davey L. Whitney Complex,Lorman,MS,7000.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2016,s:40~l:41~t:2016,Alcorn State,Braves,ALCN,Alcorn State Braves,Alcorn State,4b0058,46166a,True,2072,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,26,2232,s:40~l:41~t:2232,Fort Valley State,Wildcats,FVS,Fort Valley State Wildcats,Fort Valley St,000000,,False,,,,,,,,,,2013
0,323240269,s:40~l:41~e:323240269~c:323240269,2012-11-19T20:30Z,2400,True,True,False,False,"[{'type': 'event', 'headline': 'EA SPORTS MAUI INVITATIONAL AT MAUI HI'}]",2012-11-19T20:30Z,0,N/A,1943,Lahaina Civic Center,Maui,HI,0.0,False,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,269,s:40~l:41~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,True,5777,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,2086,s:40~l:41~t:2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,00a3e0,True,2032,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,3,,,,,,,2013
0,323242634,s:40~l:41~e:323242634~c:323242634,2012-11-19T21:00Z,339,True,True,False,False,"[{'type': 'event', 'headline': 'COACHES vs CANCER CLASSIC AT ATLANTA'}]",2012-11-19T21:00Z,0,N/A,2057,GSU Sports Arena,Atlanta,GA,3854.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:41~t:6,South Alabama,Jaguars,USA,South Alabama Jaguars,South Alabama,003E7E,,True,2193,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,27,2634,s:40~l:41~t:2634,Tennessee State,Tigers,TNST,Tennessee State Tigers,Tennessee State,383C84,f0f0f0,True,2113,https://a.espncdn.com/i/teamlogos/ncaa/500/2634.png,20,,,,,,,2013
